iter	Passed	Remaining
0	0	74
1	1	66
2	1	63
3	2	59
4	3	58
5	3	57
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	52
12	7	52
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	48	12
79	48	12
80	49	11
81	50	10
82	50	10
83	51	9
84	51	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
